"","landscape_seed","starting_index","fitness_avg","fitness_var","fitness_min","fitness_max","count","starting_fitness","x","y","frac_1"
"44",NA,43,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.4375,1
"45",NA,44,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.761904761904762,1
"46",NA,45,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.5,1
"47",NA,46,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.5625,1
"48",NA,47,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.285714285714286,1
"49",NA,48,1.4641,0,1.4641,1.4641,100,1.000002,0.333333333333333,0.9375,1
"50",NA,49,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.80952380952381,1
"51",NA,50,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.857142857142857,1
"52",NA,51,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.625,1
"53",NA,52,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.904761904761905,1
"54",NA,53,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.6875,1
"55",NA,54,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.75,1
"56",NA,55,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.428571428571429,1
"57",NA,56,1.4641,0,1.4641,1.4641,100,1.099998,0.5,0.952380952380952,1
"58",NA,57,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.8125,1
"59",NA,58,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.875,1
"60",NA,59,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.571428571428571,1
"61",NA,60,1.4641,0,1.4641,1.4641,100,1.210002,0.666666666666667,0.9375,1
"62",NA,61,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.714285714285714,1
"63",NA,62,1.4641,0,1.4641,1.4641,100,1.330998,0.833333333333333,0.857142857142857,1
"64",NA,63,1.4641,0,1.4641,1.4641,100,1.464102,1,0.5,1
