genotype,fitness
550,4.12156
551,5.33396
552,4.51689
553,5.44733
554,5.00469
555,5.19206
556,5.95883
557,5.17252
558,5.71202
559,5.87813
560,4.79466
561,4.93978
562,4.36136
563,4.73434
564,4.71203
565,4.27682
566,4.14434
567,5.35674
568,4.45585
569,5.38629
570,4.70923
571,4.8966
572,5.57892
573,4.79261
574,4.644
575,4.81011
576,4.45601
577,4.60113
578,4.76749
579,5.14047
580,4.15967
581,3.72446
582,3.86066
583,5.07305
584,3.72149
585,4.65193
586,4.20929
587,4.39666
588,4.85862
589,4.07231
590,4.6118
591,4.77791
592,4.22509
593,4.37021
594,3.79179
595,4.16477
596,4.23023
597,3.79502
598,3.66255
599,4.87494
600,4.38673
601,5.31718
602,4.64011
603,4.82748
604,4.54613
605,3.75982
606,3.6112
607,3.77731
608,4.97345
609,5.11857
610,5.28493
611,5.65791
612,5.24196
613,4.80674
614,4.94294
615,6.15534
616,4.37594
617,5.30638
618,4.86374
619,5.05111
620,5.81788
621,5.03157
622,5.57106
623,5.73717
624,4.47445
625,4.61958
626,4.04116
627,4.41414
628,4.39183
629,3.95662
630,3.82414
631,5.03654
632,3.68446
633,4.6149
634,3.93784
635,4.12521
636,4.80753
637,4.02122
638,3.87261
639,4.03872
640,5.10904
641,5.13359
642,5.42053
643,5.67293
644,4.81271
645,4.25692
646,4.51369
647,5.60551
648,4.65375
649,5.46362
650,5.14155
651,5.20835
652,5.79088
653,4.884
654,5.54407
655,5.5896
656,4.37221
657,4.39676
658,3.93891
659,4.19132
660,4.37736
661,3.82157
662,3.80967
663,4.90149
664,5.1944
665,6.00427
666,5.44779
667,5.51458
668,5.3538
669,4.44691
670,4.41888
671,4.46441
672,4.0165
673,4.04105
674,4.32799
675,4.58039
676,4.28501
677,3.72922
678,3.98599
679,5.07781
680,4.38132
681,5.19119
682,4.86912
683,4.93592
684,5.82327
685,4.91638
686,5.57645
687,5.62198
688,4.62377
689,4.64832
690,4.19048
691,4.44288
692,4.54114
693,3.98536
694,3.97346
695,5.06528
696,4.28496
697,5.09483
698,4.53834
699,4.60514
700,5.40803
701,4.50115
702,4.47311
703,4.51865
704,4.37168
705,4.39623
706,4.68317
707,4.93557
708,4.07535
709,3.51956
710,3.77633
711,4.86815
712,3.63716
713,4.44703
714,4.12496
715,4.19175
716,4.77429
717,3.86741
718,4.52748
719,4.57301
720,3.92425
721,3.9488
722,3.49096
723,3.74336
724,3.9294
725,3.37361
726,3.36171
727,4.45354
728,4.0859
729,4.89577
730,4.33928
731,4.40607
732,4.24529
733,3.33841
734,3.31037
735,3.3559
736,4.02761
737,4.05216
738,4.3391
739,4.5915
740,4.29612
741,3.74033
742,3.9971
743,5.08892
744,3.4301
745,4.23997
746,3.9179
747,3.9847
748,4.87205
749,3.96516
750,4.62523
751,4.67076
752,4.10334
753,4.12789
754,3.67005
755,3.92246
756,4.02072
757,3.46493
758,3.45303
759,4.54485
760,3.31335
761,4.12322
762,3.56673
763,3.63353
764,4.43642
765,3.52954
766,3.5015
767,3.54703
768,5.81695
769,4.95134
770,5.71948
771,5.5315
772,5.52062
773,4.07467
774,4.81265
775,5.46408
776,5.36167
777,5.28137
778,5.44051
779,5.06692
780,6.4988
781,4.70175
782,5.84302
783,5.44817
784,4.61335
785,3.74773
786,3.7711
787,3.58312
788,4.6185
789,3.17255
790,3.64185
791,4.29329
792,5.43555
793,5.35525
794,5.27997
795,4.90638
796,5.59494
797,3.79789
798,4.25106
799,3.85621
800,3.72936
801,2.86374
802,3.63189
803,3.44391
804,3.99787
805,2.55192
806,3.28989
807,3.94133
808,4.09418
809,4.01389
810,4.17302
811,3.79943
812,5.53613
813,3.73908
814,4.88035
815,4.4855
816,4.37195
817,3.50633
818,3.5297
819,3.34172
820,4.28932
821,2.84337
822,3.31268
823,3.96411
824,4.03314
825,3.95284
826,3.87756
827,3.50397
828,5.15621
829,3.35916
830,3.81233
831,3.41748
832,5.19129
833,4.32567
834,5.09382
835,4.90584
836,4.89496
837,3.44901
838,4.18698
839,4.83842
840,4.45677
841,4.37647
842,4.53561
843,4.16202
844,5.5939
845,3.79685
846,4.93813
847,4.54327
848,4.96037
849,4.09475
850,4.11812
851,3.93014
852,4.96552
853,3.51957
854,3.98887
855,4.64031
856,5.12201
857,5.04172
858,4.96644
859,4.59285
860,5.28141
861,3.48436
862,3.93753
863,3.54268
864,5.43448
865,4.56886
866,5.33701
867,5.14903
868,5.70299
869,4.25704
870,4.99501
871,5.64645
872,4.83697
873,4.75668
874,4.91581
875,4.54222
876,6.27891
877,4.48187
878,5.62314
879,5.22829
880,4.93549
881,4.06987
882,4.09324
883,3.90525
884,4.85286
885,3.40691
886,3.87622
887,4.52765
888,4.14549
889,4.0652
890,3.98992
891,3.61632
892,5.26856
893,3.47151
894,3.92469
895,3.52983
896,6.65418
897,5.54981
898,6.55671
899,6.12997
900,6.35784
901,4.67314
902,5.64987
903,6.06255
904,6.19889
905,5.87984
906,6.27773
907,5.66539
908,7.33602
909,5.30022
910,6.68025
911,6.04664
912,5.91734
913,4.81298
914,5.07509
915,4.64836
916,5.92249
917,4.23779
918,4.94585
919,5.35853
920,6.73954
921,6.42049
922,6.58397
923,5.97162
924,6.89893
925,4.86313
926,5.55506
927,4.92145
928,6.04327
929,4.9389
930,5.9458
931,5.51907
932,6.31178
933,4.62708
934,5.6038
935,6.01649
936,6.40809
937,6.08905
938,6.48694
939,5.87459
940,7.85004
941,5.81424
942,7.19426
943,6.56066
944,6.65054
945,5.54617
946,5.80829
947,5.38156
948,6.56791
949,4.88321
950,5.59127
951,6.00395
952,6.31173
953,5.99269
954,6.15616
955,5.54381
956,7.4348
957,5.399
958,6.09093
959,5.45732
960,5.95077
961,4.8464
962,5.8533
963,5.42656
964,5.65444
965,3.96973
966,4.94646
967,5.35914
968,5.21625
969,4.8972
970,5.29509
971,4.68275
972,6.35338
973,4.31758
974,5.69761
975,5.064
976,5.50334
977,4.39897
978,4.66109
979,4.23436
980,5.50849
981,3.82379
982,4.53184
983,4.94453
984,5.66499
985,5.34594
986,5.50941
987,4.89707
988,5.82438
989,3.78858
990,4.4805
991,3.8469
992,5.29063
993,4.18626
994,5.19316
995,4.76643
996,5.55914
997,3.87444
998,4.85116
999,5.26385
1000,4.69312
1001,4.37408
1002,4.77196
1003,4.15962
1004,6.13507
1005,4.09926
1006,5.47929
1007,4.84569
1008,5.36636
1009,4.262
1010,4.52411
1011,4.09738
1012,5.28374
1013,3.59903
1014,4.30709
1015,4.71978
1016,4.57637
1017,4.25732
1018,4.42079
1019,3.80845
1020,5.69944
1021,3.66364
1022,4.35556
1023,3.72196
